鲁迅	中国	自己背着因袭的重担，肩住了黑暗的闸门，放他们到宽阔光明的地方去。	《我们怎样做父亲》（1919年）中对父子关系的建议
鲁迅	中国	我们此后实在只有两条路：一是抱着古文而死掉，一是舍掉古文而生存。	《无声的中国》（1927年）
鲁迅	中国	血沃中原肥劲草，寒凝大地发春华。英雄多故谋夫病，泪洒崇陵噪暮鸦。	《无题》（1932年）
鲁迅	中国	在我的後園，可以看見牆外有兩株樹，一株是棗樹，還有一株也是棗樹。	《秋夜》（1924年）
鲁迅	中国	丑态，我说，倒还没有什么丢人，丑态而蒙着公正的皮，这才催人呕吐。	《答KS君》（1925年）
鲁迅	中国	为赤贫的绅士计，目前最好的方法，我以为莫如弄一个有钱的女人做老婆。	《新的蔷薇》（1926年）
鲁迅	中国	想到生的乐趣，生固然可以留恋；但想到生的苦趣，无常也不一定是恶客。	《无常》（1926年）
鲁迅	中国	我想，无产者的革命，乃是为了自己的解放和消灭阶级，并非因为要杀人。	《致〈文学月报〉编辑的一封信》（1932年）
鲁迅	中国	战斗当首先守住营垒，若专一冲锋，而反遭覆灭，乃无谋之勇，非真勇也。	《致榴花社》（1933年6月20日）
鲁迅	中国	敌人是不足惧的，最可怕的是自己营垒里的蛀虫，许多事都败在他们手里。	《致萧军、萧红》（1934年12月6日）
鲁迅	中国	即使慢，驰而不息，纵令落后，纵令失败，但一定可以达到他所向的目标。	《补白》（1925年）
鲁迅	中国	无论是学文学的，学科学的，他应该先看一部关于历史的简明而可靠的书。	《随便翻翻》（1934年）
鲁迅	中国	什么是路？就是从没路的地方践踏出来的，从只有荆棘的地方开辟出来的。	《随感录六十六》（1919年）
鲁迅	中国	一说到经济的平匀分配，或不免面前就遇见敌人，这就当然要有剧烈的战斗。	《娜拉走后怎样》（1923年）
鲁迅	中国	并不一哄而起的人，当时好像落后，但因为也不一哄而散，后来却成为中坚。	《曹靖华译序》（1936年）
鲁迅	中国	如果历史家的话不是诳话，则世界上的事物可还没有因为黑暗而长存的先例。	《记谈话》（1926年）
